nom,adresse,telephone,note,nb_avis,categorie,site_web,google_maps_url,statut
Centre dentaire Parmentier République - Dentiste Paris 11,"62 Av. de la République, 75011 Paris, France",+33 1 88 40 62 77,4.6,192,Dentiste,https://www.doctolib.fr/centre-dentaire/paris/centre-dentaire-republique-parmentier,https://www.google.com/maps/search/?api=1&query=Centre%20dentaire%20Parmentier%20R%C3%A9publique%20-%20Dentiste%20Paris%2011&query_place_id=ChIJdWnoIqJt5kcRfKlGiR5doDw,À contacter
Centre Médical et Dentaire Saint-Antoine,"155 Rue du Faubourg Saint-Antoine, 75011 Paris, France",+33 1 43 46 29 29,4.8,1655,Dentiste,https://www.doctolib.fr/centre-de-sante/paris/centre-medical-et-dentaire-saint-antoine,https://www.google.com/maps/search/?api=1&query=Centre%20M%C3%A9dical%20et%20Dentaire%20Saint-Antoine&query_place_id=ChIJTUnbyAhy5kcRbguKhFtlYQY,À contacter
Centre Dentaire Paris Voltaire - GranDental,"206 Bd Voltaire, 75011 Paris, France",+33 1 88 83 22 22,4.8,523,Dentiste,https://www.doctolib.fr/centre-dentaire/paris/centre-dentaire-paris-voltaire-grandental,https://www.google.com/maps/search/?api=1&query=Centre%20Dentaire%20Paris%20Voltaire%20-%20GranDental&query_place_id=ChIJO0mVK3Bz5kcRQK1lKf0Qi_k,À contacter
Cabinet Dentaire Beaumarchais,"82 Bd Beaumarchais, 75011 Paris, France",+33 1 43 40 50 23,4.8,20,Dentiste,https://www.doctolib.fr/cabinet-dentaire/paris/cabinet-dentaire-beaumarchais?utm_source=google&utm_medium=organic&utm_term=cabinet-dentaire&utm_content=paris&utm_campaign=google-maps,https://www.google.com/maps/search/?api=1&query=Cabinet%20Dentaire%20Beaumarchais&query_place_id=ChIJke-uO_5t5kcRHla-u8fVg5Y,À contacter
Cabinet Dentaire des Dr Guez et Dr Jaoui,"44B Bd Richard-Lenoir, 75011 Paris, France",+33 1 86 90 80 84,4.9,243,Dentiste,https://www.doctolib.fr/dentiste/paris/celine-jaoui,https://www.google.com/maps/search/?api=1&query=Cabinet%20Dentaire%20des%20Dr%20Guez%20et%20Dr%20Jaoui&query_place_id=ChIJ7_-pyhxy5kcREOX46R1J38c,À contacter
Marti Kleisbauer Pierre Bernard,"71 Rue de la Roquette, 75011 Paris, France",+33 1 43 72 81 37,4.5,22,Dentiste,https://pro.doctolib.fr/dentiste/paris/pierre-bernard-marti-kleisbauer-paris?utm_source=google&utm_medium=organic&utm_term=dentiste&utm_content=paris&utm_campaign=google-maps,https://www.google.com/maps/search/?api=1&query=Marti%20Kleisbauer%20Pierre%20Bernard&query_place_id=ChIJh4HNuXly5kcRO_LfmveBMNI,À contacter
Dr Stéphane Leblanc,"136 Bd Voltaire, 75011 Paris, France",+33 1 43 79 61 37,3.8,33,Dentiste,http://www.doctolib.fr/dentiste/paris/stephane-leblanc?utm_campaign=google-maps&utm_content=paris&utm_medium=organic&utm_source=google&utm_term=dentiste,https://www.google.com/maps/search/?api=1&query=Dr%20St%C3%A9phane%20Leblanc&query_place_id=ChIJvZR5TPZt5kcRbBRZUv96Rmw,À contacter
Dr Elie Sasson,"46 Bd Richard-Lenoir, 75011 Paris, France",+33 1 48 05 47 57,4.6,116,Dentiste,https://www.doctolib.fr/dentiste/paris/elie-sasson,https://www.google.com/maps/search/?api=1&query=Dr%20Elie%20Sasson&query_place_id=ChIJk6mcohFu5kcRNww_VdEm9vo,À contacter
Ageorges Cécile,"9 Bd Richard-Lenoir, 75011 Paris, France",+33 1 49 29 93 68,4.5,17,Dentiste,https://www.doctolib.fr/dentiste/paris/cecile-ageorges?pid=practice-1463,https://www.google.com/maps/search/?api=1&query=Ageorges%20C%C3%A9cile&query_place_id=ChIJ57wGgQBy5kcRTgBImVRGFSk,À contacter
Dr Thierry Partouche,"23 Av. de la République, 75011 Paris, France",+33 1 43 57 25 74,4.3,53,Dentiste,https://www.doctolib.fr/dentiste/paris/thierry-partouche-paris,https://www.google.com/maps/search/?api=1&query=Dr%20Thierry%20Partouche&query_place_id=ChIJC8XzM-Nt5kcRQN57YzxQ7M8,À contacter
Docteur Raihan Mammeri,"58 Av. de la République, 75011 Paris, France",+33 1 47 00 65 86,4.3,24,Dentiste,https://www.doctolib.fr/dentiste/paris/raihan-mammeri,https://www.google.com/maps/search/?api=1&query=Docteur%20Raihan%20Mammeri&query_place_id=ChIJ-4NaJ_tt5kcRt5UjHO1VHIk,À contacter
Docteur Maguy Levy,"9 Bd Richard-Lenoir, 75011 Paris, France",+33 1 49 29 93 68,4,24,Dentiste,https://www.doctolib.fr/dentiste/paris/maguy-levy-paris,https://www.google.com/maps/search/?api=1&query=Docteur%20Maguy%20Levy&query_place_id=ChIJ57wGgQBy5kcRnvlnOOkJfzc,À contacter
