nom,adresse,telephone,note,nb_avis,categorie,site_web,google_maps_url,statut
Eurorepar Argenteuil,"10 Av. du Parc, 95100 Argenteuil, France",+33 1 83 84 97 80,4.2,150,Garage automobile,Aucun,https://www.google.com/maps/search/?api=1&query=Eurorepar%20Argenteuil&query_place_id=ChIJ___rxy5k5kcRqQN71GbV1r4,À contacter
Garage BL Labriere,"49 Rue Alfred Labriere bis, 95100 Argenteuil, France",+33 6 09 81 70 60,4.8,142,Garage automobile,Aucun,https://www.google.com/maps/search/?api=1&query=Garage%20BL%20Labriere&query_place_id=ChIJyVHNsHFm5kcRwFUf2Y0trAE,À contacter
GARAGE 108,"108 Rue Henri Barbusse, 95100 Argenteuil, France",+33 9 54 04 72 72,4.9,301,Garage automobile,Aucun,https://www.google.com/maps/search/?api=1&query=GARAGE%20108&query_place_id=ChIJ7SWD6ntl5kcRE9w856JQBmk,À contacter
AUTO FACTORY,"9 Rue d'Eaubonne, 95100 Argenteuil, France",+33 1 39 80 57 91,4,11,Garage automobile,Aucun,https://www.google.com/maps/search/?api=1&query=AUTO%20FACTORY&query_place_id=ChIJ6-SVRG9n5kcRemd50lkkISo,À contacter
BMJ AUTO,"110 Bd Jean Allemane, 95100 Argenteuil, France",,5,42,Garage automobile,Aucun,https://www.google.com/maps/search/?api=1&query=BMJ%20AUTO&query_place_id=ChIJ502HQ0Jn5kcRU_k8QwwfDsc,À contacter
AUTOCOLLECTION,"88 Rue Henri Barbusse, 95100 Argenteuil, France",+33 6 26 85 66 89,4.8,19,Atelier de carrosserie automobile,Aucun,https://www.google.com/maps/search/?api=1&query=AUTOCOLLECTION&query_place_id=ChIJt4hA_Z1l5kcRmJeiQLjFO4Y,À contacter
Atelier Auto Service 95,"124 Rte de Pontoise, 95100 Argenteuil, France",+33 1 71 67 64 88,4.3,67,Atelier de réparation automobile,Aucun,https://www.google.com/maps/search/?api=1&query=Atelier%20Auto%20Service%2095&query_place_id=ChIJpVPTgqVm5kcRXqQ_aeTrz0E,À contacter
SOS AUTO FRANCE,"145 Av. Jean Jaurès, 95100 Argenteuil, France",+33 1 30 76 08 99,4.7,32,Garage automobile,Aucun,https://www.google.com/maps/search/?api=1&query=SOS%20AUTO%20FRANCE&query_place_id=ChIJGZZkpHFn5kcRYg4RtbgUxng,À contacter
MY CAR,"27 Rue des Cloviers, 95100 Argenteuil, France",+33 9 84 59 06 52,4.2,88,Garage automobile,Aucun,https://www.google.com/maps/search/?api=1&query=MY%20CAR&query_place_id=ChIJQddmD2lm5kcRAG9vnRHBg0g,À contacter
Clé Auto Services,"87 bis Bd Jean Allemane, 95100 Argenteuil, France",+33 6 61 29 87 80,4.6,96,Garage automobile,Aucun,https://www.google.com/maps/search/?api=1&query=Cl%C3%A9%20Auto%20Services&query_place_id=ChIJxWdgsd9n5kcRnOnRxV1pITg,À contacter
